,county,state,population,dc
721,Owen,IN,17281,4.0
722,Parke,IN,15410,6.0
723,Perry,IN,19107,9.0
724,Pike,IN,12509,3.0
725,Porter,IN,128932,24.0
726,Posey,IN,25968,8.0
727,Pulaski,IN,12643,3.0
728,Putnam,IN,30315,10.0
729,Randolph,IN,27148,16.0
730,Ripley,IN,24616,12.0
731,Rush,IN,18129,5.0
732,Scott,IN,20991,9.0
733,Shelby,IN,40307,16.0
734,Spencer,IN,19490,4.0
735,St. joseph,IN,247052,0.0
736,Starke,IN,22747,10.0
737,Steuben,IN,27446,5.0
738,Sullivan,IN,18993,10.0
739,Switzerland,IN,7738,1.0
740,Tippecanoe,IN,130598,28.0
741,Tipton,IN,16119,2.0
742,Union,IN,6976,2.0
743,Vanderburgh,IN,165058,48.0
744,Vermillion,IN,16773,8.0
745,Vigo,IN,106107,28.0
746,Wabash,IN,35069,9.0
747,Warren,IN,8176,2.0
748,Warrick,IN,44920,12.0
749,Washington,IN,23717,2.0
750,Wayne,IN,71951,17.0
751,Wells,IN,25948,8.0
752,White,IN,23265,9.0
753,Whitley,IN,27651,5.0
754,Adair,IA,8409,3.0
755,Adams,IA,4866,0.0
756,Allamakee,IA,13855,6.0
757,Appanoose,IA,13743,4.0
758,Audubon,IA,7334,3.0
759,Benton,IA,22429,5.0
760,Black hawk,IA,123798,0.0
761,Boone,IA,25186,7.0
762,Bremer,IA,22813,11.0
763,Buchanan,IA,20844,5.0
764,Buena vista,IA,19965,0.0
765,Butler,IA,15731,9.0
766,Calhoun,IA,11508,6.0
767,Carroll,IA,21423,8.0
768,Cass,IA,15128,3.0
769,Cedar,IA,17381,8.0
770,Cerro gordo,IA,46733,0.0
771,Cherokee,IA,14098,6.0
772,Chickasaw,IA,13295,6.0
773,Clarke,IA,8287,0.0
774,Clay,IA,17585,2.0
775,Clayton,IA,19054,5.0
776,Clinton,IA,51040,15.0
777,Crawford,IA,16775,5.0
778,Dallas,IA,29755,7.0
779,Davis,IA,8312,2.0
780,Decatur,IA,8338,4.0
781,Delaware,IA,18035,6.0
782,Des moines,IA,42614,0.0
783,Dickinson,IA,14909,3.0
784,Dubuque,IA,86403,27.0
785,Emmet,IA,11569,0.0
786,Fayette,IA,21843,13.0
787,Floyd,IA,17058,5.0
788,Franklin,IA,11364,4.0
789,Fremont,IA,8226,3.0
790,Greene,IA,10045,8.0
791,Grundy,IA,12029,3.0
792,Guthrie,IA,10935,2.0
793,Hamilton,IA,16071,7.0
794,Hancock,IA,12638,4.0
795,Hardin,IA,19094,6.0
796,Harrison,IA,14730,9.0
797,Henry,IA,19226,3.0
798,Howard,IA,9809,3.0
799,Humboldt,IA,10756,3.0
800,Ida,IA,8365,4.0
801,Iowa,IA,14630,4.0
802,Jackson,IA,19950,5.0
803,Jasper,IA,34795,11.0
804,Jefferson,IA,16310,6.0
805,Johnson,IA,96119,14.0
806,Jones,IA,19444,8.0
807,Keokuk,IA,11624,2.0
808,Kossuth,IA,18591,6.0
809,Lee,IA,38687,16.0
810,Linn,IA,168767,32.0
811,Louisa,IA,11592,3.0
812,Lucas,IA,9070,2.0
813,Lyon,IA,11952,6.0
814,Madison,IA,12483,4.0
815,Mahaska,IA,21522,6.0
816,Marion,IA,30001,14.0
817,Marshall,IA,38276,13.0
818,Mills,IA,13202,4.0
819,Mitchell,IA,10928,7.0
820,Monona,IA,10034,3.0
